Nigeria;America;accede_to
Putin;King;visit
Naryshkin;Tokyo;visit
Brennan;Kiev;visit
Lavrov;Nicaragua;visit
Brennan;Kiev;visit
Obama;Malaysia;visit
Lavrov;Nicaragua;visit
Lavrov;Nicaragua;visit_to
Putin;Ukraine;voice_concern_about
Obama;King;weigh_in_on
Obama;Sterling;weigh_in_on
Dong;Xinyu;wen
Dong;Xinyu;wen
United States;Germany;work_with
United States;Germany;work_with
Washington;Kiev;work_with
Avakov;Odessa;write_on
Donetsk;Reuters;yield_more_than
Donetsk;Ukraine;yield_more_than
Donetsk;Reuters;yield_more_than
Donetsk;Ukraine;yield_more_than
