Nigeria;America;accede_to
Kerry;Sudan;fly_to
Poland;SS;follow
Poland;Russia;follow
Japan;SS;fulfil
Japan;Russia;fulfil
Europe;Vienna;gather_in
Brussels;Warsaw;gather_in
Donbas;CIA;get_chance_to
Donbas;CIA;get_chance_to
Moscow;Ukraine;give
Moscow;Ukraine;give
Ukraine;New York;go_on
Gubarev;GE;go_on
Gubarev;UN;go_on
Brennan;Kiev;go_to
Brennan;AP;go_to
Brennan;Kiev;go_to
Brennan;Kiev;go_to
Biden;Kiev;go_to
Paul;GE;hack_into
Paul;GE;hack_into
Obama;NATO;hail
Obama;NATO;hail
Obama;Afghanistan;hail
Obama;NATO;hail
Obama;NATO;hail
Obama;Afghanistan;hail
Sevastopol;Ukraine;hand_over_to
Hitler;Crimea;happen_in
Hitler;Crimea;happen_in
Kiev;Kiev;have
NATO;NATO;have
CNN;Obama;have
CNN;CNN;have
EU;EU;have_blood_on
Ukraine;EU;have_blood_on
Putin;Putin;have_business_tie_to
Putin;SS;have_business_tie_to
Putin;UN;have_business_tie_to
Putin;Canada;have_business_tie_to
Putin;Russia;have_business_tie_to
Reuters;SS;have_impact_on
Reuters;Russia;have_impact_on
Reuters;SS;have_impact_on
Reuters;Russia;have_impact_on
DPR;Putin;have_respect_for
DPR;Putin;have_respect_for
DPR;GE;have_respect_for
DPR;RT;have_respect_for
DPR;Ukraine;have_respect_for
Putin;SS;have_telephone_conversation_with
Yanukovich;Ukraine;have_to_leave
Yanukovich;Ukraine;have_to_leave
Yanukovich;King;have_to_leave
Yanukovich;Russia;have_to_leave
Yanukovich;CIA;have_to_leave
Yanukovich;PACE;have_to_leave
Yanukovich;PLA;have_to_leave
Yanukovich;SS;have_to_leave
Yanukovich;UN;have_to_leave
Yanukovich;Kazakhstan;have_to_leave
Yanukovich;Russia;have_to_leave
Yanukovich;Ukraine;have_to_leave
Yanukovich;Ukraine;have_to_leave
Yanukovich;Ukraine;have_to_leave
Yanukovich;Ukraine;have_to_leave
Yanukovich;Ukraine;have_to_leave
Yanukovich;Ukraine;have_to_leave
Yanukovich;Ukraine;have_to_leave
Oettinger;Ukraine;help_to_solve
EU;Ukraine;help_to_solve
Oettinger;Ukraine;help_to_solve
Oettinger;Ukraine;help_to_solve
EU;Ukraine;help_to_solve
Oettinger;Ukraine;help_to_solve
Oettinger;Ukraine;help_to_solve
EU;Ukraine;help_to_solve
Oettinger;Ukraine;help_to_solve
Oettinger;Ukraine;help_to_solve
EU;Ukraine;help_to_solve
Oettinger;Ukraine;help_to_solve
EU;SS;hit
EU;Russia;hit
Moscow;GE;hold_group_of
Moscow;GE;hold_group_of
Ukraine;Donetsk;hold_in
Ukraine;Donetsk;hold_in
OSCE;Belgrade;hold_in
Russian Federation;Vienna;hold_in
SS;UN;hold_in
Geneva;AP;hold_on
Crimea;EU;hold_referendum_on
Crimea;UN;hold_referendum_on
Ukraine;EU;hold_referendum_on
Ukraine;UN;hold_referendum_on
Macedonia;Moscow;hold_talk_in
Hague;London;host
Hague;RIA;host
Hague;London;host
Hague;Syria;host
Brussels;Ukraine;ignore
Brussels;Ukraine;ignore
Ukraine;RT;import
EU;UN;impose
RT;Russia;impose_against
RT;SS;impose_against
RT;Russia;impose_against
Department of Commerce;Putin;impose_restriction_on
Ukraine;RT;impose_restriction_on
Canada;SS;impose_sanction_against
Canada;UN;impose_sanction_against
Canada;Russia;impose_sanction_against
Canada;Russia;impose_sanction_against
Canada;Ukraine;impose_sanction_against
United States;SS;impose_sanction_against
United States;Russia;impose_sanction_against
United States;CIA;impose_sanction_on
United States;SS;impose_sanction_on
United States;Russia;impose_sanction_on
White House;SS;impose_sanction_on
White House;Russia;impose_sanction_on
Canada;SS;impose_sanction_on
Canada;Russia;impose_sanction_on
United States;SS;impose_sanction_on
United States;Russia;impose_sanction_on
Japan;SS;impose_sanction_on
Japan;Russia;impose_sanction_on
Japan;Russia;impose_sanction_on
United States;Putin;include
United States;SS;include
United States;Russia;include
EU;Russia;include
Brussels;Russia;include
Moscow;Russia;include
Russia;Russia;include
Iran;GE;include
Sudan;EU;include
Sudan;China;include
