A_group_of_Russian_activists,themselves
Prime_Minister_Arseniy_Yatsenyuk,April_April_11
separatists,the_regional_a_Ukrainian_regional_administration_building_in_Slovyansk_on_Monday
the_regional_a_Ukrainian_regional_administration_building_in_Slovyansk_on_Monday,a_referendum
Russian_pro-Russian_young_men,the_fence_of_a_military_recruitment_office
protesters,the_Security_Security_Service_Service_building
April,Workers
Workers,April_April_8
protesters,tires
police,the_building
April_7._A_A_masked_man_masked_man,top_of_a_barricade
Donetsk,Protesters_Pro-Russian_protesters_light_candles_in_Donetsk_on_Saturday_May_3
they,a_regional_administration_building
activists,front_front_of_a_Ukrainian_Security_Service_office_in_Luhansk
a_a_Russian_flag_Russian_flag,a_Russia_pro-Russia
Western_officials,alarm
Russia_'s,military_buildup
Naval_School,a_friend
a_friend,the_school
Some_120_cadets,Russian_citizenship
Russian_citizenship,the_school
Soviet_military_veterans,a_laying_ceremony
soldiers,the_Desna_military_shooting_range
2._Russian_soldiers,diving_training
1,a_train
A_Russian_solder,a_tank
Russian_Prime_Minister_Dmitry_Medvedev,the_economic_development_of_Crimea_Crimea_interim_Ukrainian_President_Oleksandr_Turchynov
Members_of_the_Ukrainian_National_Guard,military_exercises
those,protests
soldiers,a_training_exercise
the_recent_killing_of_radical_nationalist_leader_Oleksandr_Muzychko,a_police_operation
the_protests,Ukrainian_President_Victor_Yanukovych
Ukrainian_tanks,their_Muzychko_and_the_Right_Sector_base
Russian_troops,most_of_Ukraine_'s_Ukraine_'s
Ukrainian_President_Oleksandr_Turchynov,armed_forces
they,Feodosia
Russian_sailors,the_deck_of_the_corvette_ship_Suzdalets
militia_members,a_resident
forces,their_Pro-Russian_militia_members
unmarked_uniforms,an_armored_personnel_carrier
A_Russian_sailor,the_Russian_Navy_'s_St_._Andrew_'s_flag
Putin,the_final_decree
A_Ukrainian_serviceman,a_Ukrainian_military_unit
soldiers,control
Russian_soldiers,the_area
protesters,the_gate_the_gate_of_the_Belbek_air_base
troops,Sevastopol
forces,the_Ukrainian_navy_headquarters
forces,a_Ukrainian_flag
chief_Alexander_Vitko,the_the_Ukrainian_navy_headquarters_in_Sevastopol_on_March_19
forces,it
workers,a_parliament_building
Russian_military_personnel,a_Ukrainian_military_base
parliament_building,Tuesday
new_de_facto_mayor_of_Sevastopol,Moscow
Demonstrators,a_Crimean_Crimea_interim_Ukrainian_President_Oleksandr_Turchynov
soldiers,a_checkpoint
Ukrainian_politician_Vitali_Klitschko,reporters
troops,front_of_the_Ukrainian_Parliament_building
A_Ukrainian_man,the_the_Ukrainian_National_Guard
Civilians,riot_police
Ukrainian_soldier,top_of_an_armored_vehicle
Donetsk,Russia_pro-Russia
Armed_soldiers,a_a_Ukrainian_military_base_in_Perevalne
man,a_a_Crimean_flag
